TimeElapsed,AliveBacteria,TotalBacteria,NetCO2,TotalNutrient,TotalAcetate
1,100,100,1000,124901,100
2,100,100,2000,124802,200
3,100,100,3000,124704,300
4,100,100,4000,124604,400
5,101,101,5000,124505,500
6,101,101,6010,124404,601
7,103,103,7020,124304,702
8,104,104,8050,124202,805
9,105,105,9090,124099,909
10,109,109,10140,123995,1014
11,111,111,11230,123887,1123
12,112,112,12340,123777,1234
13,114,114,13460,123666,1346
14,116,116,14600,123552,1460
15,118,118,15760,123437,1576
16,120,120,16940,123321,1694
17,123,123,18140,123202,1814
18,126,126,19370,123080,1937
19,129,129,20630,122954,2063
20,129,129,21920,122826,2192
21,132,132,23210,122698,2321
22,137,137,24530,122568,2453
23,140,140,25900,122432,2590
24,143,143,27300,122293,2730
25,147,147,28730,122152,2873
26,153,153,30200,122006,3020
27,163,163,31730,121855,3173
28,174,174,33360,121694,3336
29,179,179,35100,121521,3510
30,185,185,36890,121344,3689
31,193,193,38740,121161,3874
32,207,207,40670,120970,4067
33,220,220,42740,120766,4274
34,231,231,44940,120549,4494
35,236,236,47250,120322,4725
36,239,239,49610,120089,4961
37,240,240,52000,119852,5200
38,245,245,54400,119616,5440
39,250,250,56850,119373,5685
40,257,257,59350,119127,5935
41,263,263,61920,118874,6192
42,272,272,64550,118615,6455
43,282,282,67270,118346,6727
44,292,292,70090,118068,7009
45,306,306,73010,117780,7301
46,316,316,76070,117478,7607
47,323,323,79230,117169,7923
48,334,334,82460,116852,8246
49,345,345,85800,116521,8580
50,370,370,89250,116183,8925
51,387,387,92950,115820,9295
52,400,400,96820,115440,9682
53,410,410,100820,115050,10082
54,416,416,104920,114648,10492
55,428,428,109080,114240,10908
56,443,443,113360,113820,11336
57,456,456,117790,113387,11779
58,467,467,122350,112938,12235
59,488,488,127020,112478,12702
60,506,506,131900,111999,13190
61,520,520,136960,111503,13696
62,542,542,142160,110995,14216
63,558,558,147580,110466,14758
64,572,572,153160,109922,15316
65,588,588,158880,109362,15888
66,606,606,164760,108787,16476
67,636,636,170820,108200,17082
68,659,659,177180,107584,17718
69,691,691,183770,106941,18377
70,709,709,190680,106267,19068
71,732,732,197770,105578,19777
72,755,755,205090,104869,20509
73,781,781,212640,104138,21264
74,798,798,220450,103382,22045
75,816,816,228430,102615,22843
76,849,849,236590,101832,23659
77,878,878,245080,101012,24508
78,902,902,253860,100169,25386
79,936,936,262880,99303.7,26288
80,967,967,272240,98405.2,27224
81,1001,1001,281910,97479.9,28191
82,1035,1035,291920,96524.9,29192
83,1067,1067,302270,95541,30227
84,1102,1102,312940,94522.9,31294
85,1140,1140,323960,93481.1,32396
86,1192,1192,335360,92406.5,33536
87,1218,1218,347280,91285.1,34728
88,1256,1256,359460,90148.1,35946
89,1305,1305,372020,88983.5,37202
90,1345,1345,385070,87775.6,38507
91,1378,1378,398520,86529.1,39852
92,1416,1416,412300,85271.7,41230
93,1467,1467,426460,83980.9,42646
94,1508,1508,441130,82650.9,44113
95,1548,1548,456210,81296.2,45621
96,1600,1600,471690,79918.6,47169
97,1657,1657,487690,78508.1,48769
98,1698,1698,504260,77051.6,50426
99,1756,1756,521240,75556.9,52124
100,1794,1794,538800,74024.6,53880
101,1840,1840,556740,72491.5,55674
102,1883,1883,575140,70922.9,57514
103,1935,1935,593970,69346.2,59397
104,1991,1991,613320,67744.8,61332
105,2043,2043,633230,66094.5,63323
106,2117,2117,653660,64419.2,65366
107,2174,2174,674830,62716.1,67483
108,2229,2229,696570,60991.2,69657
109,2288,2288,718860,59237,71886
110,2341,2341,741740,57474.8,74174
111,2398,2398,765150,55690.9,76515
112,2453,2453,789130,53900.8,78913
113,2521,2521,813660,52113.7,81366
114,2572,2572,838870,50322.9,83887
115,2627,2627,864590,48509.2,86459
116,2687,2687,890860,46685.8,89086
117,2744,2744,917730,44858.2,91773
118,2797,2797,945170,43044.1,94517
119,2854,2854,973140,41247.6,97314
120,2918,2919,1.00168e+06,39481.6,100168
121,2992,2993,1.03086e+06,37733.2,103086
122,3052,3055,1.06078e+06,36004.2,106078
123,3111,3114,1.0913e+06,34257.1,109130
124,3165,3169,1.12241e+06,32530.2,112241
125,3213,3217,1.15406e+06,30859.7,115406
126,3267,3272,1.18619e+06,29214.3,118619
127,3305,3311,1.21886e+06,27615.2,121886
128,3352,3362,1.25191e+06,26072.7,125191
129,3386,3400,1.28543e+06,24556.8,128543
130,3431,3451,1.31929e+06,23092.5,131929
131,3480,3502,1.3536e+06,21701.6,135360
132,3519,3543,1.3884e+06,20338.5,138840
133,3560,3586,1.42359e+06,19021.3,142359
134,3596,3625,1.45919e+06,17759.1,145919
135,3625,3666,1.49515e+06,16547.6,149515
136,3640,3703,1.5314e+06,15386.1,153140
137,3652,3726,1.5678e+06,14298.3,156780
138,3649,3750,1.60432e+06,13279.6,160432
139,3658,3775,1.64081e+06,12344.8,164081
140,3647,3794,1.67739e+06,11452.4,167739
141,3626,3808,1.71386e+06,10616,171386
142,3601,3827,1.75012e+06,9834.72,175012
143,3570,3842,1.78613e+06,9121.42,178613
144,3519,3860,1.82183e+06,8428.31,182183
145,3460,3876,1.85702e+06,7790.25,185702
146,3411,3891,1.89162e+06,7198.17,189162
147,3353,3900,1.92573e+06,6651.42,192573
148,3297,3913,1.95926e+06,6143.78,195926
149,3234,3919,1.99223e+06,5671.45,199223
150,3175,3930,2.02457e+06,5246.59,202457
151,3081,3935,2.05632e+06,4863.11,205632
152,3004,3941,2.08713e+06,4510.79,208713
153,2935,3950,2.11717e+06,4186.82,211717
154,2861,3955,2.14652e+06,3881.74,214652
155,2785,3961,2.17513e+06,3607.47,217513
156,2724,3967,2.20298e+06,3359.97,220298
157,2658,3970,2.23022e+06,3142.25,223022
158,2606,3973,2.2568e+06,2949.13,225680
159,2556,3976,2.28286e+06,2762.85,228286
160,2502,3979,2.30842e+06,2601.89,230842
161,2450,3981,2.33344e+06,2436.94,233344
162,2408,3985,2.35794e+06,2298.32,235794
163,2359,3987,2.38202e+06,2179.74,238202
164,2330,3991,2.40561e+06,2063.84,240561
165,2289,3993,2.42891e+06,1961.47,242891
166,2254,3994,2.4518e+06,1869.52,245180
167,2221,3994,2.47434e+06,1775.55,247434
168,2193,3995,2.49655e+06,1690.88,249655
169,2158,3995,2.51848e+06,1617.03,251848
170,2128,3995,2.54006e+06,1548.67,254006
171,2094,3996,2.56134e+06,1487.32,256134
172,2065,3997,2.58228e+06,1435.69,258228
173,2032,3997,2.60293e+06,1383.71,260293
174,2004,3997,2.62325e+06,1336.5,262325
175,1970,3997,2.64329e+06,1291.52,264329
176,1937,3997,2.66299e+06,1249.87,266299
177,1915,3997,2.68236e+06,1209.81,268236
178,1898,3997,2.70151e+06,1173,270151
179,1870,3997,2.72049e+06,1138.76,272049
180,1857,3997,2.73919e+06,1102.15,273919
181,1841,3997,2.75776e+06,1069.63,275776
182,1820,3998,2.77617e+06,1040.18,277617
183,1812,3999,2.79437e+06,1014.22,279437
184,1798,3999,2.81249e+06,988.842,281249
185,1782,3999,2.83047e+06,965.5,283047
186,1765,3999,2.84829e+06,941.706,284829
187,1747,3999,2.86594e+06,919.626,286594
188,1730,3999,2.88341e+06,901.497,288341
189,1723,3999,2.90071e+06,883.474,290071
190,1713,3999,2.91794e+06,865.614,291794
191,1707,3999,2.93507e+06,850.098,293507
192,1696,3999,2.95214e+06,836.517,295214
193,1692,3999,2.9691e+06,821.854,296910
194,1683,3999,2.98602e+06,809.132,298602
195,1678,3999,3.00285e+06,795.718,300285
196,1672,3999,3.01963e+06,783.617,301963
197,1665,3999,3.03635e+06,769.935,303635
198,1653,3999,3.053e+06,759.383,305300
199,1648,3999,3.06953e+06,749.699,306953
200,1647,3999,3.08601e+06,739.637,308601
201,1643,3999,3.10248e+06,730.143,310248
202,1638,3999,3.11891e+06,722.841,311891
203,1632,3999,3.13529e+06,716.274,313529
204,1621,3999,3.15161e+06,709.851,315161
205,1614,3999,3.16782e+06,703.816,316782
206,1611,3999,3.18396e+06,697.183,318396
207,1609,3999,3.20007e+06,691.362,320007
208,1605,3999,3.21616e+06,685.797,321616
209,1599,3999,3.23221e+06,681.214,323221
