TimeElapsed,AliveBacteria,TotalBacteria,NetCO2,TotalNutrient,TotalAcetate
1,100,100,5000,124900,0
2,100,100,10000,124800,0
3,101,101,15000,124700,0
4,101,101,20050,124599,0
5,101,101,25100,124498,0
6,101,101,30150,124397,0
7,101,101,35200,124296,0
8,101,101,40250,124195,0
9,101,101,45300,124095,0
10,101,101,50350,123994,0
11,102,102,55400,123894,0
12,102,102,60500,123793,0
13,103,103,65600,123693,0
14,103,103,70750,123591,0
15,103,103,75900,123491,0
16,103,103,81050,123391,0
17,103,103,86200,123291,0
18,103,103,91350,123194,0
19,106,106,96500,123095,0
20,106,106,101800,122992,0
21,106,106,107100,122893,0
22,107,107,112400,122793,0
23,107,107,117750,122692,0
24,107,107,123100,122591,0
25,107,107,128450,122491,0
26,110,110,133800,122391,0
27,111,111,139300,122288,0
28,112,112,144850,122184,0
29,111,112,150450,122078,0
30,111,112,156000,121973,0
31,112,113,161550,121868,0
32,114,115,167150,121761,0
33,116,117,172850,121654,0
34,118,119,178650,121544,0
35,120,121,184550,121432,0
36,124,125,190550,121317,0
37,127,128,196750,121200,0
38,128,129,203100,121081,0
39,129,130,209500,120962,0
40,130,131,215950,120841,0
41,133,135,222450,120719,0
42,135,137,229100,120591,0
43,137,139,235850,120463,0
44,140,142,242700,120331,0
45,143,145,249700,120197,0
46,148,150,256850,120063,0
47,149,151,264250,119923,0
48,152,154,271700,119783,0
49,159,161,279300,119639,0
50,158,161,287250,119489,0
51,158,162,295150,119339,0
52,162,166,303050,119191,0
53,166,170,311150,119039,0
54,174,178,319450,118882,0
55,177,181,328150,118717,0
56,182,186,337000,118549,0
57,184,188,346100,118377,0
58,192,196,355300,118205,0
59,202,206,364900,118025,0
60,202,206,375000,117834,0
61,204,208,385100,117644,0
62,206,210,395300,117453,0
63,209,213,405600,117263,0
64,212,216,416050,117070,0
65,214,218,426650,116872,0
66,217,222,437350,116673,0
67,220,225,448200,116474,0
68,221,226,459200,116271,0
69,221,226,470250,116068,0
70,223,228,481300,115867,0
71,227,232,492450,115666,0
72,230,235,503800,115457,0
73,233,239,515300,115243,0
74,237,243,526950,115027,0
75,238,246,538800,114809,0
76,244,252,550700,114585,0
77,247,255,562900,114353,0
78,252,260,575250,114118,0
79,261,269,587850,113881,0
80,262,270,600900,113635,0
81,264,272,614000,113389,0
82,270,278,627200,113143,0
83,276,284,640700,112892,0
84,285,294,654500,112638,0
85,288,297,668750,112373,0
86,290,301,683150,112104,0
87,292,303,697650,111833,0
88,302,313,712250,111559,0
89,314,325,727350,111277,0
90,317,328,743050,110983,0
91,327,339,758900,110684,0
92,332,344,775250,110376,0
93,336,348,791850,110062,0
94,341,353,808650,109744,0
95,345,357,825700,109422,0
96,351,364,842950,109097,0
97,355,368,860500,108768,0
98,359,372,878250,108438,0
99,362,375,896200,108101,0
100,369,383,914300,107766,0
101,375,389,932750,107421,0
102,381,395,951500,107070,0
103,387,401,970550,106712,0
104,393,407,989900,106351,0
105,398,412,1.00955e+06,105985,0
106,407,421,1.02945e+06,105615,0
107,411,425,1.0498e+06,105232,0
108,414,429,1.07035e+06,104845,0
109,423,439,1.09105e+06,104454,0
110,424,441,1.1122e+06,104056,0
111,431,448,1.1334e+06,103660,0
112,439,457,1.15495e+06,103255,0
113,450,469,1.1769e+06,102839,0
114,460,479,1.1994e+06,102414,0
115,467,486,1.2224e+06,101977,0
116,474,494,1.24575e+06,101534,0
117,483,503,1.26945e+06,101085,0
118,498,518,1.2936e+06,100629,0
119,518,538,1.3185e+06,100157,0
120,523,543,1.3444e+06,99670,0
121,533,553,1.37055e+06,99177,0
122,539,559,1.3972e+06,98676,0
123,543,564,1.42415e+06,98172,0
124,552,575,1.4513e+06,97663,0
125,560,583,1.4789e+06,97140,0
126,569,592,1.5069e+06,96614,0
127,579,602,1.53535e+06,96080,0
128,588,611,1.5643e+06,95537,0
129,593,617,1.5937e+06,94987,0
130,612,636,1.62335e+06,94433,0
131,618,642,1.65395e+06,93862,0
132,634,660,1.68485e+06,93286,0
133,647,673,1.71655e+06,92697,0
134,661,687,1.7489e+06,92093,0
135,667,694,1.78195e+06,91482,0
136,679,706,1.8153e+06,90865,0
137,688,715,1.84925e+06,90242,0
138,695,723,1.88365e+06,89610,0
139,709,739,1.9184e+06,88968,0
140,714,744,1.95385e+06,88312,0
141,724,756,1.98955e+06,87658,0
142,734,767,2.02575e+06,86993,0
143,747,780,2.06245e+06,86314,0
144,765,798,2.0998e+06,85627,0
145,774,807,2.13805e+06,84925,0
146,788,822,2.17675e+06,84209,0
147,800,834,2.21615e+06,83493,0
148,822,856,2.25615e+06,82772,0
149,846,880,2.29725e+06,82030,0
150,853,888,2.33955e+06,81282,0
151,863,901,2.3822e+06,80527,0
152,867,907,2.42535e+06,79761,0
153,881,921,2.4687e+06,78991,0
154,895,936,2.51275e+06,78206,0
155,911,952,2.5575e+06,77419,0
156,927,969,2.60305e+06,76608,0
157,945,988,2.6494e+06,75799,0
158,958,1001,2.69665e+06,74979,0
159,966,1010,2.74455e+06,74153,0
160,985,1030,2.79285e+06,73316,0
161,999,1044,2.8421e+06,72456,0
162,1017,1064,2.89205e+06,71589,0
163,1032,1081,2.9429e+06,70716,0
164,1047,1098,2.9945e+06,69827,0
165,1062,1113,3.04685e+06,68927,0
166,1079,1132,3.09995e+06,68033,0
167,1098,1151,3.1539e+06,67128,0
168,1114,1168,3.2088e+06,66200,0
169,1132,1188,3.2645e+06,65266,0
170,1143,1201,3.3211e+06,64320,0
171,1162,1220,3.37825e+06,63374,0
172,1173,1233,3.43635e+06,62421,0
173,1193,1254,3.495e+06,61463,0
174,1199,1265,3.55465e+06,60481,0
175,1213,1281,3.6146e+06,59516,0
176,1229,1297,3.67525e+06,58553,0
177,1243,1312,3.7367e+06,57580,0
178,1259,1329,3.79885e+06,56604,0
179,1278,1350,3.8618e+06,55621,0
180,1290,1363,3.9257e+06,54637,0
181,1304,1382,3.9902e+06,53644,0
182,1314,1394,4.0554e+06,52657,0
183,1322,1404,4.1211e+06,51678,0
184,1335,1421,4.1872e+06,50691,0
185,1352,1442,4.25395e+06,49696,0
186,1368,1460,4.32155e+06,48689,0
187,1379,1475,4.38995e+06,47694,0
188,1388,1488,4.4589e+06,46686,0
189,1403,1506,4.5283e+06,45707,0
190,1417,1523,4.59845e+06,44745,0
191,1430,1540,4.6693e+06,43768,0
192,1448,1563,4.7408e+06,42809,0
193,1457,1578,4.8132e+06,41846,0
194,1476,1599,4.88605e+06,40889,0
195,1485,1614,4.95985e+06,39921,0
196,1505,1637,5.0341e+06,38963,0
197,1523,1660,5.10935e+06,38007,0
198,1541,1680,5.1855e+06,37030,0
199,1549,1696,5.26255e+06,36063,0
200,1556,1712,5.34e+06,35106,0
201,1567,1731,5.4178e+06,34145,0
202,1574,1743,5.49615e+06,33195,0
203,1582,1757,5.57485e+06,32228,0
204,1589,1770,5.65395e+06,31286,0
205,1602,1796,5.7334e+06,30349,0
206,1608,1813,5.8135e+06,29416,0
207,1622,1831,5.8939e+06,28480,0
208,1630,1849,5.975e+06,27567,0
209,1634,1863,6.0565e+06,26660,0
210,1643,1875,6.1382e+06,25772,0
211,1643,1886,6.22035e+06,24888,0
212,1646,1899,6.3025e+06,24019,0
213,1648,1907,6.3848e+06,23170,0
214,1641,1917,6.4672e+06,22337,0
215,1641,1928,6.54925e+06,21562,0
216,1642,1940,6.6313e+06,20790,0
217,1637,1952,6.7134e+06,20015,0
218,1640,1965,6.79525e+06,19259,0
219,1639,1974,6.87725e+06,18540,0
220,1633,1982,6.9592e+06,17838,0
