TimeElapsed,AliveBacteria,TotalBacteria,NetCO2,TotalNutrient,TotalAcetate
1,100,100,5000,124900,0
2,100,100,10000,124800,0
3,100,100,15000,124700,0
4,100,100,20000,124600,0
5,100,100,25000,124500,0
6,102,102,30000,124400,0
7,102,102,35100,124298,0
8,103,103,40200,124196,0
9,103,103,45350,124093,0
10,103,103,50500,123990,0
11,103,103,55650,123887,0
12,103,103,60800,123785,0
13,104,104,65950,123683,0
14,104,104,71150,123582,0
15,104,104,76350,123479,0
16,105,105,81550,123376,0
17,105,105,86800,123273,0
18,105,105,92050,123169,0
19,106,106,97300,123065,0
20,106,106,102600,122961,0
21,107,107,107900,122857,0
22,107,107,113250,122753,0
23,107,107,118600,122649,0
24,107,107,123950,122545,0
25,109,109,129300,122441,0
26,109,109,134750,122338,0
27,109,109,140200,122234,0
28,110,110,145650,122129,0
29,112,112,151150,122024,0
30,114,114,156750,121916,0
31,114,114,162450,121806,0
32,114,114,168150,121696,0
33,116,116,173850,121589,0
34,117,117,179650,121479,0
35,118,118,185500,121367,0
36,122,122,191400,121256,0
37,124,124,197500,121138,0
38,125,125,203700,121022,0
39,127,127,209950,120903,0
40,132,133,216300,120784,0
41,135,136,222900,120658,0
42,137,138,229650,120531,0
43,142,143,236500,120403,0
44,145,146,243600,120268,0
45,149,150,250850,120132,0
46,152,153,258300,119993,0
47,153,155,265900,119850,0
48,156,158,273550,119704,0
49,159,161,281350,119557,0
50,165,167,289300,119406,0
51,168,170,297550,119248,0
52,169,171,305950,119089,0
53,172,174,314400,118929,0
54,175,177,323000,118764,0
55,181,183,331750,118598,0
56,185,187,340800,118426,0
57,189,191,350050,118250,0
58,197,199,359500,118071,0
59,206,209,369350,117884,0
60,207,210,379650,117687,0
61,209,212,390000,117490,0
62,209,212,400450,117292,0
63,211,214,410900,117095,0
64,211,215,421450,116894,0
65,213,217,432000,116695,0
66,217,221,442650,116495,0
67,220,224,453500,116291,0
68,222,226,464500,116081,0
69,223,228,475600,115870,0
70,229,234,486750,115658,0
71,235,240,498200,115440,0
72,239,244,509950,115217,0
73,245,250,521900,114989,0
74,248,253,534150,114754,0
75,251,257,546550,114519,0
76,256,262,559100,114282,0
77,258,264,571900,114037,0
78,264,270,584800,113790,0
79,269,276,598000,113536,0
80,279,286,611450,113277,0
81,285,292,625400,113010,0
82,287,294,639650,112738,0
83,292,299,654000,112466,0
84,297,304,668600,112189,0
85,304,311,683450,111904,0
86,308,316,698650,111613,0
87,314,322,714050,111318,0
88,324,332,729750,111016,0
89,336,344,745950,110705,0
90,341,350,762750,110383,0
91,345,354,779800,110054,0
92,345,354,797050,109721,0
93,356,365,814300,109389,0
94,359,368,832100,109048,0
95,362,371,850050,108704,0
96,367,377,868150,108357,0
97,371,381,886500,108004,0
98,378,388,905050,107647,0
99,383,394,923950,107284,0
100,390,401,943100,106914,0
101,401,413,962600,106537,0
102,407,420,982650,106152,0
103,414,427,1.003e+06,105762,0
104,420,433,1.0237e+06,105366,0
105,427,440,1.0447e+06,104966,0
106,436,449,1.06605e+06,104560,0
107,442,455,1.08785e+06,104143,0
108,452,465,1.10995e+06,103721,0
109,466,479,1.13255e+06,103294,0
110,477,490,1.15585e+06,102850,0
111,484,497,1.1797e+06,102398,0
112,488,501,1.2039e+06,101942,0
113,496,509,1.2283e+06,101483,0
114,501,515,1.2531e+06,101013,0
115,513,529,1.27815e+06,100543,0
116,522,538,1.3038e+06,100059,0
117,531,547,1.3299e+06,99565,0
118,542,559,1.35645e+06,99062,0
119,559,576,1.38355e+06,98550,0
120,572,590,1.4115e+06,98019,0
121,577,595,1.4401e+06,97476,0
122,581,599,1.46895e+06,96933,0
123,593,613,1.498e+06,96386,0
124,602,622,1.52765e+06,95829,0
125,608,629,1.55775e+06,95267,0
126,621,642,1.58815e+06,94699,0
127,628,649,1.6192e+06,94118,0
128,638,660,1.6506e+06,93528,0
129,644,667,1.6825e+06,92930,0
130,655,678,1.7147e+06,92327,0
131,674,697,1.74745e+06,91711,0
132,685,708,1.78115e+06,91076,0
133,694,717,1.8154e+06,90429,0
134,704,727,1.8501e+06,89778,0
135,713,737,1.8853e+06,89119,0
136,728,754,1.92095e+06,88448,0
137,742,768,1.95735e+06,87759,0
138,752,778,1.99445e+06,87057,0
139,768,794,2.03205e+06,86349,0
140,783,811,2.07045e+06,85625,0
141,793,822,2.1096e+06,84887,0
142,803,832,2.14925e+06,84140,0
143,818,847,2.1894e+06,83380,0
144,829,858,2.2303e+06,82617,0
145,847,877,2.27175e+06,81845,0
146,860,890,2.3141e+06,81062,0
147,873,904,2.3571e+06,80264,0
148,889,920,2.40075e+06,79449,0
149,905,938,2.4452e+06,78628,0
150,924,959,2.49045e+06,77788,0
151,933,969,2.53665e+06,76933,0
152,942,978,2.5833e+06,76082,0
153,962,1001,2.6304e+06,75229,0
154,973,1013,2.6785e+06,74363,0
155,988,1028,2.72715e+06,73479,0
156,1003,1044,2.77655e+06,72592,0
157,1017,1059,2.8267e+06,71684,0
158,1035,1078,2.87755e+06,70774,0
159,1052,1096,2.9293e+06,69847,0
160,1067,1111,2.9819e+06,68907,0
161,1089,1133,3.03525e+06,67970,0
162,1094,1139,3.0897e+06,67021,0
163,1117,1165,3.1444e+06,66072,0
164,1132,1183,3.20025e+06,65104,0
165,1155,1206,3.25685e+06,64142,0
166,1171,1224,3.3146e+06,63170,0
167,1191,1244,3.37315e+06,62186,0
168,1205,1259,3.4327e+06,61188,0
169,1220,1276,3.49295e+06,60206,0
170,1238,1297,3.55395e+06,59222,0
171,1248,1308,3.61585e+06,58223,0
172,1269,1330,3.67825e+06,57226,0
173,1283,1349,3.7417e+06,56233,0
174,1299,1368,3.80585e+06,55228,0
175,1321,1392,3.8708e+06,54217,0
176,1336,1409,3.93685e+06,53204,0
177,1349,1425,4.00365e+06,52203,0
178,1362,1439,4.0711e+06,51200,0
179,1380,1460,4.1392e+06,50204,0
180,1396,1477,4.2082e+06,49210,0
181,1410,1492,4.278e+06,48220,0
182,1418,1503,4.3485e+06,47227,0
183,1431,1517,4.4194e+06,46247,0
184,1446,1535,4.49095e+06,45254,0
185,1464,1553,4.56325e+06,44278,0
186,1474,1567,4.63645e+06,43303,0
187,1490,1587,4.71015e+06,42345,0
188,1497,1600,4.78465e+06,41389,0
189,1510,1617,4.8595e+06,40448,0
190,1520,1635,4.935e+06,39522,0
191,1533,1651,5.011e+06,38591,0
192,1539,1662,5.08765e+06,37687,0
193,1559,1684,5.1646e+06,36805,0
194,1562,1697,5.24255e+06,35930,0
195,1562,1704,5.32065e+06,35068,0
196,1572,1721,5.39875e+06,34213,0
197,1586,1742,5.47735e+06,33359,0
198,1594,1754,5.55665e+06,32519,0
199,1602,1766,5.63635e+06,31689,0
200,1597,1774,5.71645e+06,30874,0
201,1599,1784,5.7963e+06,30068,0
202,1600,1794,5.87625e+06,29284,0
203,1604,1811,5.95625e+06,28512,0
204,1601,1823,6.03645e+06,27753,0
205,1607,1836,6.1165e+06,27014,0
206,1610,1850,6.19685e+06,26279,0
207,1613,1862,6.27735e+06,25568,0
208,1619,1874,6.358e+06,24866,0
209,1614,1884,6.43895e+06,24183,0
210,1613,1893,6.51965e+06,23517,0
211,1608,1907,6.6003e+06,22882,0
212,1606,1917,6.6807e+06,22248,0
213,1599,1926,6.761e+06,21611,0
214,1587,1933,6.84095e+06,21023,0
215,1576,1943,6.9203e+06,20430,0
216,1566,1950,6.9991e+06,19858,0
217,1559,1958,7.0774e+06,19297,0
218,1556,1971,7.15535e+06,18747,0
219,1551,1982,7.23315e+06,18210,0
220,1535,1988,7.3107e+06,17674,0
